email_date,email_subject,company,eval_pct,rank,notes,ticker,sell_target_date,status,buy_date,buy_price,sell_date,sell_price,return_pct,end_value_usd,holding_days
2026-06-29,Weekly Asia Market Movers: Global Majors & Industry (29 Jun 2026),Neuren Pharmaceuticals,34.0,2,,NEU.AX,2026-07-29,ok,2026-06-29 00:00:00+10:00,16.600000381469727,2026-07-29 00:00:00+10:00,17.1299991607666,3.1927636573340252,1.0319276365733403,30.0
2026-06-29,Weekly Asia Market Movers: Global Majors & Industry (29 Jun 2026),Sichuan Biokin Pharmaceutical,31.0,3,,688506.SS,2026-07-29,ok,2026-06-29 00:00:00+08:00,297.010009765625,2026-07-29 00:00:00+08:00,322.2200012207031,8.487926543274318,1.0848792654327433,30.0
2026-06-29,Weekly Market Movers: Global Majors & Industry (26th June 2026),Bio-Techne,23.0,1,,TECH,2026-07-29,ok,2026-06-29 00:00:00-04:00,70.82157135009766,2026-07-29 00:00:00-04:00,71.9503173828125,1.5937884619010043,1.0159378846190101,30.0
2026-06-29,Weekly Market Movers: Global Majors & Industry (26th June 2026),Charles River Laboratories International,17.0,2,,CRL,2026-07-29,ok,2026-06-29 00:00:00-04:00,225.57000732421875,2026-07-29 00:00:00-04:00,234.8000030517578,4.091854159614627,1.0409185415961462,30.0
2026-06-29,Weekly Market Movers: Global Majors & Industry (26th June 2026),ICON,16.0,3,,ICLR,2026-07-29,ok,2026-06-29 00:00:00-04:00,172.99000549316406,2026-07-29 00:00:00-04:00,178.17999267578125,3.0001659158408875,1.030001659158409,30.0
2026-06-30,Daily Market Movers: Global Majors & Industry (30 Jun 2026),Abivax,39.0,1,,ABVX,2026-07-30,ok,2026-06-30 00:00:00-04:00,133.25999450683594,2026-07-30 00:00:00-04:00,124.33000183105469,-6.701180432153748,0.9329881956784625,30.0
2026-06-30,Daily Market Movers: Global Majors & Industry (30 Jun 2026),Contineum Therapeutics,9.0,2,,CNTP,2026-07-30,no_data,,,,,,,
2026-06-30,Daily Market Movers: Global Majors & Industry (30 Jun 2026),Ultragenyx Pharmaceutical,9.0,3,,RARE,2026-07-30,ok,2026-06-30 00:00:00-04:00,33.38999938964844,2026-07-30 00:00:00-04:00,26.040000915527344,-22.01257444886249,0.7798742555113751,30.0
2026-07-01,Daily Market Movers: Global Majors & Industry (01 Jul 2026),Zenas BioPharma,10.0,1,,ZBIO,2026-08-01,ok,2026-07-01 00:00:00-04:00,28.0,2026-08-03 00:00:00-04:00,31.1299991607666,11.17856843130929,1.1117856843130929,33.0
2026-07-01,Daily Market Movers: Global Majors & Industry (01 Jul 2026),Codexis,7.0,2,,CDXS,2026-08-01,ok,2026-07-01 00:00:00-04:00,2.390000104904175,2026-08-03 00:00:00-04:00,1.4500000476837158,-39.33054460088183,0.6066945539911817,33.0
2026-07-01,Daily Market Movers: Global Majors & Industry (01 Jul 2026),Nuvectis Pharma,6.0,3,,NVCT,2026-08-01,ok,2026-07-01 00:00:00-04:00,19.520000457763672,2026-08-03 00:00:00-04:00,21.600000381469727,10.65573706418013,1.1065573706418013,33.0
2026-07-02,Daily Market Movers: Global Majors & Industry (02 Jul 2026),Sellas Life Sciences Group,13.0,1,,SLS,2026-08-02,ok,2026-07-02 00:00:00-04:00,14.979999542236328,2026-08-03 00:00:00-04:00,11.220000267028809,-25.100129439965247,0.7489987056003475,32.0
2026-07-02,Daily Market Movers: Global Majors & Industry (02 Jul 2026),MannKind,12.0,2,,MNKD,2026-08-02,ok,2026-07-02 00:00:00-04:00,4.519999980926514,2026-08-03 00:00:00-04:00,3.799999952316284,-15.92920424001071,0.8407079575998929,32.0
2026-07-02,Daily Market Movers: Global Majors & Industry (02 Jul 2026),Damora Therapeutics,10.0,3,,DAMO,2026-08-02,no_data,,,,,,,
2026-07-03,Daily Market Movers: Global Majors & Industry (3 Jul 2026),GENFIT,22.0,1,,GNFT.PA,2026-08-03,ok,2026-07-03 00:00:00+02:00,12.9399995803833,2026-08-03 00:00:00+02:00,14.039999961853027,8.500776021177762,1.0850077602117776,31.0
2026-07-03,Daily Market Movers: Global Majors & Industry (3 Jul 2026),Toyobo,8.0,2,,3101.T,2026-08-03,ok,2026-07-03 00:00:00+09:00,1741.0,2026-08-03 00:00:00+09:00,1567.0,-9.99425617461229,0.9000574382538771,31.0
2026-07-03,Daily Market Movers: Global Majors & Industry (3 Jul 2026),Abivax,6.0,3,,ABVX,2026-08-03,ok,2026-07-06 00:00:00-04:00,143.99000549316406,2026-08-03 00:00:00-04:00,124.77999877929688,-13.341208404064671,0.8665879159593532,28.0
2026-07-03,Weekly Market Movers: Global Majors & Industry (03 Jul 2026),Abivax,60.0,1,,ABVX,2026-08-03,ok,2026-07-06 00:00:00-04:00,143.99000549316406,2026-08-03 00:00:00-04:00,124.77999877929688,-13.341208404064671,0.8665879159593532,28.0
2026-07-03,Weekly Market Movers: Global Majors & Industry (03 Jul 2026),Sellas Life Sciences Group,21.0,2,,SLS,2026-08-03,ok,2026-07-06 00:00:00-04:00,13.9399995803833,2026-08-03 00:00:00-04:00,11.220000267028809,-19.51219078357893,0.8048780921642107,28.0
