email_date	email_subject	rank	company	evaluation	notes
5/18/2026	Daily Market Movers: Global Majors & Industry (18 May 2026)	2	Sartorius	8%	18 May: Shares raise after the Wall Street Journal reported that activist investor Elliott Investment Management has built a stake in the company, with Elliott also taking a position in Bio-Rad Laboratories (which owns 28% of Sartorius) and planning to push for value-unlocking actions.
5/18/2026	Weekly Asia Market Movers: Global Majors & Industry (18 May 2026)	2	Terumo	16%	
5/18/2026	Daily Market Movers: Global Majors & Industry (18 May 2026)	3	Hamamatsu Photonics	8%	
5/18/2026	Weekly Asia Market Movers: Global Majors & Industry (18 May 2026)	3	Suven Life Sciences	16%	
5/18/2026	Weekly Asia Market Movers: Global Majors & Industry (18 May 2026)	4	Nippon Kayaku	16%	
5/18/2026	Daily Market Movers: Global Majors & Industry (18 May 2026)	4	Biolife Solutions	8%	
5/18/2026	Daily Market Movers: Global Majors & Industry (18 May 2026)	5	Boston Scientific	6%	
5/18/2026	Weekly Asia Market Movers: Global Majors & Industry (18 May 2026)	5	PharmaEssentia	14%	
5/18/2026	Weekly Asia Market Movers: Global Majors & Industry (18 May 2026)	6	Santen Pharmaceutical	14%	
5/18/2026	Daily Market Movers: Global Majors & Industry (18 May 2026)	6	3M	4%	
5/18/2026	Weekly Asia Market Movers: Global Majors & Industry (18 May 2026)	7	Olympus	12%	
5/18/2026	Daily Market Movers: Global Majors & Industry (18 May 2026)	7	Abbott Laboratories	4%	
5/18/2026	Daily Market Movers: Global Majors & Industry (18 May 2026)	8	Krka Group	4%	
5/18/2026	Weekly Asia Market Movers: Global Majors & Industry (18 May 2026)	8	Anteris Technologies	12%	
5/18/2026	Daily Market Movers: Global Majors & Industry (18 May 2026)	9	Caris Life Sciences	4%	18 May: Shares raise after publication on 15 May of a Caris-led study in The Oncologist demonstrating the clinical value of the Caris Lookback Program, which identified 13,293 previously-profiled patients potentially eligible for newly approved targeted therapies across
