email_date	email_subject	rank	company	evaluation	notes
4/20/2026	Weekly Asia Market Movers: Global Majors & Industry (20 Apr 2026)	10	JenKem Technology	12%	
4/20/2026	Daily Market Movers: Global Majors & Industry (20 Apr 2026)	10	Oculis	4%	20 Apr: Shares rise after company completes phase III DIAMOND trials for OCS-01, advancing toward near-term topline data readout.
4/21/2026	Daily Market Movers: Global Majors & Industry (21 Apr 2026)	1	Arcus Biosciences	8%	
4/21/2026	Daily Market Movers: Global Majors & Industry (21 Apr 2026)	2	BioNTech	6%	
4/21/2026	Daily Market Movers: Global Majors & Industry (21 Apr 2026)	3	Tango Therapeutics	5%	
4/21/2026	Daily Market Movers: Global Majors & Industry (21 Apr 2026)	4	Exelixis	5%	
4/21/2026	Daily Market Movers: Global Majors & Industry (21 Apr 2026)	5	Celcuity	5%	
4/21/2026	Daily Market Movers: Global Majors & Industry (21 Apr 2026)	6	Summit Therapeutics	5%	
4/21/2026	Daily Market Movers: Global Majors & Industry (21 Apr 2026)	7	Nissan Chemical	5%	
4/21/2026	Daily Market Movers: Global Majors & Industry (21 Apr 2026)	8	Quest Diagnostics	4%	21 Apr: Company announces Q1'26 results: Revenue of $2.9bn, up 9.2% from 2025, with 9.0% organic revenue growth.
4/21/2026	Daily Market Movers: Global Majors & Industry (21 Apr 2026)	9	Fujitsu	3%	
4/21/2026	Daily Market Movers: Global Majors & Industry (21 Apr 2026)	10	Capricor Therapeutics	3%	
4/22/2026	Daily Market Movers: Global Majors & Industry (22 Apr 2026)	1	Inhibrx Biosciences	37%	22 Apr: Company announces updated interim data from its phase I/II study evaluating Ozekibart in combination with Folfiri in patients with locally advanced or metastatic, unresectable colorectal cancer. Furthermore, Stifel raises the price target to $300 from $150 while maintaining a &quot;buy&quot; rating.
4/22/2026	Daily Market Movers: Global Majors & Industry (22 Apr 2026)	2	Canopy Growth	21%	22 Apr: Shares rise following a report that the Trump administration could soon reclassify cannabis, potentially opening up research and banking access long sought by the industry.
4/22/2026	Daily Market Movers: Global Majors & Industry (22 Apr 2026)	3	Helus Pharma	17%	
4/22/2026	Daily Market Movers: Global Majors & Industry (22 Apr 2026)	4	MapLight Therapeutics	16%	
4/22/2026	Daily Market Movers: Global Majors & Industry (22 Apr 2026)	5	Tilray	14%	22 Apr: Shares rise following a report that the Trump administration could soon reclassify cannabis, potentially opening up research and banking access long sought by the industry.
4/22/2026	Daily Market Movers: Global Majors & Industry (22 Apr 2026)	6	Green Thumb Industries	11%	22 Apr: Shares rise following a report that the Trump administration could soon reclassify cannabis, potentially opening up research and banking access long sought by the industry.
4/22/2026	Daily Market Movers: Global Majors & Industry (22 Apr 2026)	7	Teleflex	11%	22 Apr: CVC Capital Partners and GTCR have submitted a joint bid to take company private.
4/22/2026	Daily Market Movers: Global Majors & Industry (22 Apr 2026)	8	ASP Isotopes	11%	
4/22/2026	Daily Market Movers: Global Majors & Industry (22 Apr 2026)	9	Sundial Growers	11%	22 Apr: Shares rise following a report that the Trump administration could soon reclassify cannabis, potentiall
4/23/2026	Daily Market Movers: Global Majors & Industry (23 Apr 2026)	1	Replimune	26%	
4/23/2026	Daily Market Movers: Global Majors & Industry (23 Apr 2026)	2	West Pharmaceutical Services	13%	23 Apr: Company releases Q1'26 results: Net sales of $844.9m, increased 21% over the same period last year.
4/23/2026	Daily Market Movers: Global Majors & Industry (23 Apr 2026)	3	Vitrolife	12%	23 Apr: Company reports Q1'26 results: Net income of SEK 101m, resulting in earnings per share of SEK 0.74; operating cash flow of SEK 172m.
4/23/2026	Daily Market Movers: Global Majors & Industry (23 Apr 2026)	4	Absci	8%	
4/23/2026	Daily Market Movers: Global Majors & Industry (23 Apr 2026)	5	Catalyst Pharmaceuticals	7%	
4/23/2026	Daily Market Movers: Global Majors & Industry (23 Apr 2026)	6	Galderma	7%	23 Apr: Company reports Q1'26 results: Net sales of 1.473bn USD, representing year-on-year net sales growth of 25.5% at constant currency.
4/23/2026	Daily Market Movers: Global Majors & Industry (23 Apr 2026)	7	Nanobiotix	6%	
4/23/2026	Daily Market Movers: Global Majors & Industry (23 Apr 2026)	8	Hikma Pharmaceuticals	6%	
4/23/2026	Daily Market Movers: Global Majors & Industry (23 Apr 2026)	9	Nestl��	6%	
4/23/2026	Daily Market Movers: Global Majors & Industry (23 Apr 2026)	10	COMPASS Pathways	5%	
4/24/2026	Weekly Market Movers: Global Majors & Industry (24 Apr 2026)	1	Inhibrx Biosciences	46%	22 Apr: Company announces updated interim data from its phase I/II study evaluating Ozekibart in combination with Folfiri in patients with locally advanced or metastatic, unresectable colorectal cancer. Furthermore, Stifel raises the price target to $300 from $150 while maintaining a &quot;buy&quot; rating.
4/24/2026	Daily Market Movers: Global Majors & Industry (24 Apr 2026)	1	Organon	31%	24 Apr: Shares rise after media reports indicated that Sun Pharmaceutical Industries is moving ahead with its biggest-ever M&amp;A deal by submitting a $13bn binding offer.
4/24/2026	Weekly Market Movers: Global Majors & Industry (24 Apr 2026)	2	COMPASS Pathways	44%	
4/24/2026	Daily Market Movers: Global Majors & Industry (24 Apr 2026)	2	Denka Company	8%	
4/24/2026	Weekly Market Movers: Global Majors & Industry (24 Apr 2026)	3	Crescent Biopharma	17%	
4/24/2026	Daily Market Movers: Global Majors & Industry (24 Apr 2026)	3	GH Research	8%	
4/24/2026	Weekly Market Movers: Global Majors & Industry (24 Apr 2026)	4	Organon	15%	24 Apr: Shares climb after media reports indicated that India���s Sun Pharmaceutical Industries is moving ahead with its biggest-ever M&amp;A deal by submitting a $13B binding offer.
4/24/2026	Daily Market Movers: Global Majors & Industry (24 Apr 2026)	4	Celcuity	7%	
4/24/2026	Daily Market Movers: Global Majors & Industry (24 Apr 2026)	5	Green Thumb Industries	7%	24 Apr: Shares rise a day after company announces an additional $100m share repurchase program.
4/24/2026	Weekly Market Movers: Global Majors & Industry (24 Apr 2026)	5	AtaiBeckley	15%	
4/24/2026	Weekly Market Movers: Global Majors & Industry (24 Apr 2026)	6	NIOX	15%	
4/24/2026	Daily Market Movers: Global Majors & Industry (24 Apr 2026)	6	Sartorius	5%	
4/24/2026	Weekly Market Movers: Global Majors & Industry (24 Apr 2026)	7	Erasca	13%	
4/24/2026	Daily Market Movers: Global Majors & Industry (24 Apr 2026)	7	Pharvaris	5%	
4/24/2026	Daily Market Movers: Global Majors & Industry (24 Apr 2026)	8	Praxis Precision Medicines	5%	
4/24/2026	Weekly Market Movers: Global Majors & Industry (24 Apr 2026)	8	Evolus	13%	
4/24/2026	Daily Market Movers: Global Majors & Industry (24 Apr 2026)	9	Precigen	5%	
4/24/2026	Weekly Market Movers: Global Majors & Industry (24 Apr 2026)	9	Legend Biotech	13%	
4/24/2026	Weekly Market Movers: Global Majors & Industry (24 Apr 2026)	10	Armata Pharmaceuticals	12%	
4/24/2026	Daily Market Movers: Global Majors & Industry (24 Apr 2026)	10	Bio-Techne	4%	
4/27/2026	Weekly Asia Market Movers: Global Majors & Industry (27 Apr 2026)	1	STCube	21%	
4/27/2026	Daily Market Movers: Global Majors & Industry (27 Apr 2026)	1	Sagimet Biosciences	39%	27 Apr: Company announces the pricing of an underwritten offering of its Series A common stock at a price of $6.00 per share, with gross proceedings expected to be $175m.
4/27/2026	Daily Market Movers: Global Majors & Industry (27 Apr 2026)	2	Absci	23%	
4/27/2026	Weekly Asia Market Movers: Global Majors & Industry (27 Apr 2026)	2	Frontier Biotechnologies	19%	
4/27/2026	Weekly Asia Market Movers: Global Majors & Industry (27 Apr 2026)	3	OliX Pharmaceuticals	13%	
4/27/2026	Daily Market Movers: Global Majors & Industry (27 Apr 2026)	3	Organon	17%	27 Apr: Sun Pharmaceutical Industries announces it will acquire company in an all-cash transaction at a valuation of $11.75bn.
4/27/2026	Weekly Asia Market Movers: Global Majors & Industry (27 Apr 2026)	4	Medipost	12%	
4/27/2026	Daily Market Movers: Global Majors & Industry (27 Apr 2026)	4	Green Thumb Industries	14%	
4/27/2026	Daily Market Movers: Global Majors & Industry (27 Apr 2026)	5	AnaptysBio	13%	27 Apr: Delaware Chancery Court rules in favour of company by dismissing Tesaro���s anticipatory breach claim.
4/27/2026	Weekly Asia Market Movers: Global Majors & Industry (27 Apr 2026)	5	Caregen	11%	
4/27/2026	Weekly Asia Market Movers: Global Majors & Industry (27 Apr 2026)	6	Strides Pharma Science	10%	
4/27/2026	Daily Market Movers: Global Majors & Industry (27 Apr 2026)	6	XOMA Royalty	11%	27 Apr: Company announces that it will acquired by Ligand Pharmaceuticals for a total equity value of $739m.
4/27/2026	Daily Market Movers: Global Majors & Industry (27 Apr 2026)	7	Oruka Therapeutics	11%	27 Apr: Company announces positive data from its phase IIa EVERLAST-A trial evaluating ORKA-001 in moderate to severe plaque psoriasis.
4/27/2026	Weekly Asia Market Movers: Global Majors & Industry (27 Apr 2026)	7	Jubilant Ingrevia	10%	
4/27/2026	Daily Market Movers: Global Majors & Industry (27 Apr 2026)	8	Sellas Life Sciences Group	9%	
4/27/2026	Weekly Asia Market Movers: Global Majors & Industry (27 Apr 2026)	8	Denka Company	10%	
4/27/2026	Daily Market Movers: Global Majors & Industry (27 Apr 2026)	9	Omeros	9%	
4/27/2026	Weekly Asia Market Movers: Global Majors & Industry (27 Apr 2026)	9	Marksans Pharma	9%	
4/27/2026	Daily Market Movers: Global Majors & Industry (27 Apr 2026)	10	Beam Therapeutics	8%	
4/27/2026	Weekly Asia Market Movers: Global Majors & Industry (27 Apr 2026)	10	Dr. Reddy's Laboratories	8%	
4/28/2026	Daily Market Movers: Global Majors & Industry (28 Apr 2026)	1	Kiniksa Pharmaceuticals	23%	29 Apr: Company reports Q1'26 results: Total revenue of $214.3m, compared to $137.8m for Q1'25; full-year revenue guidance raised to $930-945m.
4/28/2026	Daily Market Movers: Global Majors & Industry (28 Apr 2026)	2	Revolution Medicines	10%	29 Apr: Truist Financial upgrades company to &quot;strong-buy&quot; and maintains price target
4/28/2026	Daily Market Movers: Global Majors & Industry (28 Apr 2026)	3	WAVE Life Sciences	8%	29 Apr: Company reports Q1'26 results: Revenue of $38.3m significantly compared to $9.2m in the prior year quarter.
4/28/2026	Daily Market Movers: Global Majors & Industry (28 Apr 2026)	4	Chugai Pharmaceutical	7%	
4/28/2026	Daily Market Movers: Global Majors & Industry (28 Apr 2026)	5	Sumitomo Heavy Industries	6%	
4/28/2026	Daily Market Movers: Global Majors & Industry (28 Apr 2026)	6	Otsuka Holdings	5%	29 Apr: Company reports Q1'26 results: Revenue up 8.2% year-on-year; EPS beats consensus by $0.16.
4/28/2026	Daily Market Movers: Global Majors & Industry (28 Apr 2026)	7	SBI Holdings	4%	
4/28/2026	Daily Market Movers: Global Majors & Industry (28 Apr 2026)	8	Kyowa Kirin	4%	
4/28/2026	Daily Market Movers: Global Majors & Industry (28 Apr 2026)	9	Nurix Therapeutics	4%	
4/28/2026	Daily Market Movers: Global Majors & Industry (28 Apr 2026)	10	Shiseido	3%	
4/29/2026	Daily Market Movers: Global Majors & Industry (29 Apr 2026)	1	ICON	13%	
4/29/2026	Daily Market Movers: Global Majors & Industry (29 Apr 2026)	2	DCC	9%	
4/29/2026	Daily Market Movers: Global Majors & Industry (29 Apr 2026)	3	Biogen	6%	29 Apr: Company announces Q1'26 results: total revenue of $2.5bn, increased 2% year-over-year; GAAP diluted EPS of $2.15, increased 31% year-over-year.
4/29/2026	Daily Market Movers: Global Majors & Industry (29 Apr 2026)	4	Spyre Therapeutics	5%	
4/29/2026	Daily Market Movers: Global Majors & Industry (29 Apr 2026)	5	Ionis Pharmaceuticals	4%	29 Apr: Company announces Q1'26 results: total revenue increased 87% to $246m compared to $132m in the Q1'25.
4/29/2026	Daily Market Movers: Global Majors & Industry (29 Apr 2026)	6	Swedish Orphan Biovitrum	4%	29 Apr: Shares rise a day after company reports Q1'26 results: total revenue increased 24% at CER and 11% at actual rates.
4/29/2026	Daily Market Movers: Global Majors & Industry (29 Apr 2026)	7	CVS Health	4%	
4/29/2026	Daily Market Movers: Global Majors & Industry (29 Apr 2026)	8	Kerry Group	3%	
4/29/2026	Daily Market Movers: Global Majors & Industry (29 Apr 2026)	9	BioArctic	3%	
4/29/2026	Daily Market Movers: Global Majors & Industry (29 Apr 2026)	10	Neurocrine Biosciences	2%	29 Apr: Company announces that research published in The Journal of Clinical Psychiatry characterises patient-reported improvement with Ingrezza capsules across the KINECT clinical program.
4/30/2026	Daily Market Movers: Global Majors & Industry (30 Apr 2026)	1	Glaukos	23%	30 Apr: Shares rise after Needham raised Company's price target and positive Q1'26 financial results.
4/30/2026	Daily Market Movers: Global Majors & Industry (30 Apr 2026)	2	Prelude Therapeutics	22%	
4/30/2026	Daily Market Movers: Global Majors & Industry (30 Apr 2026)	3	uniQure	19%	30 Apr: Company announces plans to submit a marketing authorisation application for AMT-130 for Huntington's disease in Q3'26.
4/30/2026	Daily Market Movers: Global Majors & Industry (30 Apr 2026)	4	Artiva Biotherapeutics	19%	
4/30/2026	Daily Market Movers: Global Majors & Industry (30 Apr 2026)	5	Erasca	17%	
4/30/2026	Daily Market Movers: Global Majors & Industry (30 Apr 2026)	6	Newron Pharmaceuticals	14%	
4/30/2026	Daily Market Movers: Global Majors & Industry (30 Apr 2026)	7	Axsome Therapeutics	13%	30 Apr: FDA approves Company's Auvelity for the treatment of agitation associated with dementia due to Alzheimer���s disease.
4/30/2026	Daily Market Movers: Global Majors & Industry (30 Apr 2026)	8	Ginkgo Bioworks Holdings	13%	
4/30/2026	Daily Market Movers: Global Majors & Industry (30 Apr 2026)	9	Neumora Therapeutics	10%	
4/30/2026	Daily Market Movers: Global Majors & Industry (30 Apr 2026)	10	Zenas BioPharma	10%	
5/1/2026	Weekly Market Movers: Global Majors & Industry (01 May 2026)	1	Toyota Tsusho	12%	
5/1/2026	Weekly Market Movers: Global Majors & Industry (01 May 2026)	3	CVS Health	5%	
5/1/2026	Weekly Market Movers: Global Majors & Industry (01 May 2026)	4	Novonesis	4%	
5/1/2026	Weekly Market Movers: Global Majors & Industry (01 May 2026)	5	argenx	4%	
5/1/2026	Weekly Market Movers: Global Majors & Industry (01 May 2026)	6	Natera	4%	
5/1/2026	Weekly Market Movers: Global Majors & Industry (01 May 2026)	7	Otsuka Holdings	4%	29 Apr: Company reports Q1'26 results: Revenue up 8.2% year-on-year; EPS beats consensus by $0.16.
5/1/2026	Weekly Market Movers: Global Majors & Industry (01 May 2026)	8	Insmed	4%	
5/1/2026	Weekly Market Movers: Global Majors & Industry (01 May 2026)	9	Ajinomoto	3%	
5/1/2026	Weekly Market Movers: Global Majors & Industry (01 May 2026)	10	United Therapeutics	3%	
5/4/2026	Weekly Asia Market Movers: Global Majors & Industry (04 May 2026)	1	LG Chem	13%	
5/4/2026	Daily Market Movers: Global Majors & Industry (04 May 2026)	1	Celcuity	20%	
5/4/2026	Weekly Asia Market Movers: Global Majors & Industry (04 May 2026)	2	Yakult Honsha	13%	
5/4/2026	Weekly Asia Market Movers: Global Majors & Industry (04 May 2026)	3	Teva Pharmaceutical Industries	13%	
5/4/2026	Daily Market Movers: Global Majors & Industry (04 May 2026)	3	Ardelyx	15%	
5/4/2026	Weekly Asia Market Movers: Global Majors & Industry (04 May 2026)	4	Caliway Biopharmaceuticals	12%	
5/4/2026	Weekly Asia Market Movers: Global Majors & Industry (04 May 2026)	5	Tianquan Pharmaceutical	11%	
5/4/2026	Daily Market Movers: Global Majors & Industry (04 May 2026)	5	Legend Biotech	13%	
5/4/2026	Weekly Asia Market Movers: Global Majors & Industry (04 May 2026)	6	Toyota Tsusho	11%	
5/4/2026	Weekly Asia Market Movers: Global Majors & Industry (04 May 2026)	7	Innovent Biologics	11%	
5/4/2026	Daily Market Movers: Global Majors & Industry (04 May 2026)	8	AbCellera Biologics	11%	
5/4/2026	Weekly Asia Market Movers: Global Majors & Industry (04 May 2026)	8	Emcure Pharmaceuticals	9%	
5/4/2026	Daily Market Movers: Global Majors & Industry (04 May 2026)	9	Climb Bio	11%	
5/4/2026	Weekly Asia Market Movers: Global Majors & Industry (04 May 2026)	9	WuXi AppTec	9%	
5/4/2026	Weekly Asia Market Movers: Global Majors & Industry (04 May 2026)	10	Chengdu Olymvax Biopharmaceuticals	7%	
5/4/2026	Daily Market Movers: Global Majors & Industry (04 May 2026)	10	Corcept Therapeutics	11%	4 May: Shares rise after company announces Q1'26 revenue of $164.9m as well as provides corporate update.
5/5/2026	Daily Market Movers: Global Majors & Industry (05 May 2026)	1	Edgewise Therapeutics	21%	
5/5/2026	Daily Market Movers: Global Majors & Industry (05 May 2026)	2	Cytokinetics	17%	
5/5/2026	Daily Market Movers: Global Majors & Industry (05 May 2026)	4	ICON	8%	
5/5/2026	Daily Market Movers: Global Majors & Industry (05 May 2026)	7	Charles River Laboratories International	8%	
5/5/2026	Daily Market Movers: Global Majors & Industry (05 May 2026)	8	Catalyst Pharmaceuticals	7%	
5/5/2026	Daily Market Movers: Global Majors & Industry (05 May 2026)	9	Tango Therapeutics	7%	
5/5/2026	Daily Market Movers: Global Majors & Industry (05 May 2026)	10	Repligen	6%	5 May: Company announce Q1 results with revenue of $194m, a year-over-year increase of 15% as reported and 11% organic.
5/6/2026	Daily Market Movers: Global Majors & Industry (06 May 2026)	1	Avalo Therapeutics	34%	06 May: Shares rise a day after company reports positive topline results from its phase II trial of abdakibart (AVTX-009) in moderate to severe hidradenitis suppurativa, with the trial meeting its primary endpoint.
5/6/2026	Daily Market Movers: Global Majors & Industry (06 May 2026)	2	InflaRx	27%	06 May: Company announces plans to advance izicopan into clinical development for ANCA-associated vasculitis and additional renal diseases.
5/6/2026	Daily Market Movers: Global Majors & Industry (06 May 2026)	3	MannKind	24%	06 May: Company receives FDA acceptance of its investigational new drug application for ralinepag dry powder formulation.
5/6/2026	Daily Market Movers: Global Majors & Industry (06 May 2026)	4	Replimune	20%	
5/6/2026	Daily Market Movers: Global Majors & Industry (06 May 2026)	5	Nanobiotix	19%	
5/6/2026	Daily Market Movers: Global Majors & Industry (06 May 2026)	6	Artiva Biotherapeutics	17%	
5/6/2026	Daily Market Movers: Global Majors & Industry (06 May 2026)	7	TG Therapeutics	16%	06 May: Shares rise after company reports Q1 2026 revenues of $205m, driven by Briumvi U.S. net sales of $195m and raises full-year 2026 revenue guidance to $925m.
5/6/2026	Daily Market Movers: Global Majors & Industry (06 May 2026)	8	Novavax	16%	06 May: Company reports Q1 2026 revenue of $140m, driven by upfront and milestone payments from vaccine supply and licensing agreements.
5/6/2026	Daily Market Movers: Global Majors & Industry (06 May 2026)	9	Monopar Therapeutics	13%	
5/6/2026	Daily Market Movers: Global Majors & Industry (06 May 2026)	10	enGene Therapeutics	12%	
5/7/2026	Daily Market Movers: Global Majors & Industry (07 May 2026)	1	Zealand Pharma	9%	
5/7/2026	Daily Market Movers: Global Majors & Industry (07 May 2026)	4	MBX Biosciences	8%	
5/7/2026	Daily Market Movers: Global Majors & Industry (07 May 2026)	5	SAB BIO	7%	
5/7/2026	Daily Market Movers: Global Majors & Industry (07 May 2026)	6	Bio-Techne	7%	
5/7/2026	Daily Market Movers: Global Majors & Industry (07 May 2026)	7	Teleflex	7%	
5/7/2026	Daily Market Movers: Global Majors & Industry (07 May 2026)	9	SanBio	7%	
5/7/2026	Daily Market Movers: Global Majors & Industry (07 May 2026)	10	Biolife Solutions	6%	
5/8/2026	Weekly Market Movers: Global Majors & Industry (08 May 2026)	1	Nanobiotix	39%	
5/8/2026	Daily Market Movers: Global Majors & Industry (08 May 2026)	1	Tango Therapeutics	53%	
5/8/2026	Daily Market Movers: Global Majors & Industry (08 May 2026)	1	PTC Therapeutics	14%	
5/8/2026	Weekly Market Movers: Global Majors & Industry (08 May 2026)	2	MBX Biosciences	39%	
5/8/2026	Weekly Market Movers: Global Majors & Industry (08 May 2026)	3	UniQure	34%	
5/8/2026	Weekly Market Movers: Global Majors & Industry (08 May 2026)	4	NewAmsterdam Pharma	30%	
5/8/2026	Weekly Market Movers: Global Majors & Industry (08 May 2026)	5	BillionToOne	29%	
5/8/2026	Daily Market Movers: Global Majors & Industry (08 May 2026)	6	Perrigo	7%	
5/8/2026	Daily Market Movers: Global Majors & Industry (08 May 2026)	6	Summit Therapeutics	6%	
5/8/2026	Weekly Market Movers: Global Majors & Industry (08 May 2026)	6	UroGen Pharma	26%	
5/8/2026	Weekly Market Movers: Global Majors & Industry (08 May 2026)	7	Novavax	26%	06 May: Company reports Q1 2026 revenue of $140m, driven by upfront and milestone payments from vaccine supply and licensing agreements.
5/8/2026	Daily Market Movers: Global Majors & Industry (08 May 2026)	7	Ligand Pharmaceuticals	5%	
5/8/2026	Daily Market Movers: Global Majors & Industry (08 May 2026)	8	Nurix Therapeutics	7%	
5/8/2026	Daily Market Movers: Global Majors & Industry (08 May 2026)	8	Ono Pharmaceutical	5%	
5/8/2026	Weekly Market Movers: Global Majors & Industry (08 May 2026)	8	Bruker	21%	
5/8/2026	Weekly Market Movers: Global Majors & Industry (08 May 2026)	9	TG Therapeutics	20%	06 May: Shares rise after company reports Q1 2026 revenues of $205m, driven by Briumvi U.S. net sales of $195m and raises full-year 2026 revenue guidance to $925m.
5/8/2026	Daily Market Movers: Global Majors & Industry (08 May 2026)	9	Green Thumb Industries	7%	
5/8/2026	Daily Market Movers: Global Majors & Industry (08 May 2026)	10	Oruka Therapeutics	7%	
5/8/2026	Weekly Market Movers: Global Majors & Industry (08 May 2026)	10	Viridian Therapeutics	18%	
5/8/2026	Daily Market Movers: Global Majors & Industry (08 May 2026)	10	Fujitsu	4%	
5/11/2026	Weekly Asia Market Movers: Global Majors & Industry (11 May 2026)	1	Holy Stone Enterprise	46%	
5/11/2026	Weekly Asia Market Movers: Global Majors & Industry (11 May 2026)	2	Beijing Wantai Biological Pharmacy	18%	
5/11/2026	Weekly Asia Market Movers: Global Majors & Industry (11 May 2026)	3	Chengdu Olymvax Biopharmaceuticals	17%	
5/11/2026	Weekly Asia Market Movers: Global Majors & Industry (11 May 2026)	4	Frontier Biotechnologies	17%	
5/11/2026	Weekly Asia Market Movers: Global Majors & Industry (11 May 2026)	5	Genscript Biotech	15%	
5/11/2026	Weekly Asia Market Movers: Global Majors & Industry (11 May 2026)	6	SanBio	14%	
5/11/2026	Weekly Asia Market Movers: Global Majors & Industry (11 May 2026)	7	Hugel	13%	
5/11/2026	Weekly Asia Market Movers: Global Majors & Industry (11 May 2026)	8	Ajinomoto	13%	
5/11/2026	Weekly Asia Market Movers: Global Majors & Industry (11 May 2026)	9	Strides Pharma Science	12%	
5/11/2026	Weekly Asia Market Movers: Global Majors & Industry (11 May 2026)	10	Youcare Pharmaceutical Group	12%	
5/12/2026	Daily Market Movers: Global Majors & Industry (12 May 2026)	1	Olympus	17%	12 May: Shares raise after FY'26 results, where company announced the FDA-related ship-hold headwinds had been absorbed, set out medium-term targets of 3-4-5% annual revenue growth and 100+ basis points of annual margin expansion from FY'26, and announced a new share repurchase and cancellation of treasury shares.
5/12/2026	Daily Market Movers: Global Majors & Industry (12 May 2026)	2	Asahi Kasei	16%	12 May: Shares raise after company released FY'26 results, which delivered record operating income and net income on the back of strong pharmaceutical and electronics performance, with management upgrading FY'27 guidance and maintaining an active share buyback programme.
5/12/2026	Daily Market Movers: Global Majors & Industry (12 May 2026)	3	PharmaNutra	14%	
5/12/2026	Daily Market Movers: Global Majors & Industry (12 May 2026)	4	Insmed	12%	
5/12/2026	Daily Market Movers: Global Majors & Industry (12 May 2026)	5	Santen Pharmaceutical	10%	12 May: Shares raise after FY'26 results showed earnings growth of over 20% year-on-year with continued margin improvement, driven by strong performance of Ikervis and the ophthalmology portfolio across Europe and Asia.
5/12/2026	Daily Market Movers: Global Majors & Industry (12 May 2026)	6	Teijin	9%	
5/12/2026	Daily Market Movers: Global Majors & Industry (12 May 2026)	7	FUJIFILM Holdings	8%	
5/12/2026	Daily Market Movers: Global Majors & Industry (12 May 2026)	8	Alkermes	8%	12 May: Shares raise after company announced positive topline phase III results from the REVITALYZ study for LUMRYZ in narcolepsy, adding to positive momentum from the strong Q1'26 beat released on 5 May where revenue of $392.9m and EPS of -$0.40 both exceeded expectations. 9 Tokuy
5/13/2026	Daily Market Movers: Global Majors & Industry (13 May 2026)	1	Corcept Therapeutics	12%	
5/13/2026	Daily Market Movers: Global Majors & Industry (13 May 2026)	2	Tango Therapeutics	9%	13 May: Company reports Q1 results with cash position of $380m as of March 31, 2026, with runway into 2028 beyond anticipated key data inflection points.
5/13/2026	Daily Market Movers: Global Majors & Industry (13 May 2026)	3	Vera Therapeutics	7%	
5/13/2026	Daily Market Movers: Global Majors & Industry (13 May 2026)	4	Merck KGaA	7%	13 May: Company announces strong Q1 results group net sales of ��� 5.1bn and upgrades full-year 2026 guidance.
5/13/2026	Daily Market Movers: Global Majors & Industry (13 May 2026)	5	Alumis	6%	
5/13/2026	Daily Market Movers: Global Majors & Industry (13 May 2026)	6	Axsome Therapeutics	5%	13 May: Company announces plans for Auvelity expansion with June alzheimer���s agitation launch.
5/13/2026	Daily Market Movers: Global Majors & Industry (13 May 2026)	7	Wacker-Chemie	4%	
5/13/2026	Daily Market Movers: Global Majors & Industry (13 May 2026)	8	Protagonist Therapeutics	4%	
5/13/2026	Daily Market Movers: Global Majors & Industry (13 May 2026)	9	Travere Therapeutics	4%	13 May: Company reports inducement grants under Nasdaq Listing Rule 5635(c)(4).
5/13/2026	Daily Market Movers: Global Majors & Industry (13 May 2026)	10	Bridge Bio Pharma	4%	
5/14/2026	Daily Market Movers: Global Majors & Industry (14 May 2026)	1	Nanobiotix	15%	
5/14/2026	Daily Market Movers: Global Majors & Industry (14 May 2026)	2	Corcept Therapeutics	14%	13 May: UBS Group upgrades rating to &quot;buy&quot; from &quot;neutral&quot; raising its price target from $44 to $72.
5/14/2026	Daily Market Movers: Global Majors & Industry (14 May 2026)	2	study of gedatolisib as a first-line treatment for patients with hormone receptor positive, human epidermal growth factor receptor 2 negative locally advanced or metastatic breast cancer. 8 Wacker-Chemie	8%	
5/14/2026	Daily Market Movers: Global Majors & Industry (14 May 2026)	3	Nippon Suisan Kaisha	13%	
5/14/2026	Daily Market Movers: Global Majors & Industry (14 May 2026)	4	Mitsui Chemicals	10%	
5/14/2026	Daily Market Movers: Global Majors & Industry (14 May 2026)	5	Dermapharm Holding	9%	13 May: Company reports Q1'26 results that exceeded analyst expectations: Consolidated revenue increases by 1.2% year on year to EUR 302.4m.
5/14/2026	Daily Market Movers: Global Majors & Industry (14 May 2026)	6	BioCryst Pharmaceuticals	9%	14 May: Company announces it will present new real-world evidence at the 2026 International Society for Pharmacoeconomics and Outcomes Research conference taking place in Philadelphia from May 17���20, 2026.
5/14/2026	Daily Market Movers: Global Majors & Industry (14 May 2026)	7	Celcuity	8%	14 May: Company announces updates to the phase III VIKTORIA-
5/14/2026	Daily Market Movers: Global Majors & Industry (14 May 2026)	9	Vera Therapeutics	8%	
5/14/2026	Daily Market Movers: Global Majors & Industry (14 May 2026)	10	Sumitomo Pharma	8%	
5/15/2026	Daily Market Movers: Global Majors & Industry (15 May 2026)	1	Hamamatsu Photonics	23%	
5/15/2026	Weekly Market Movers: Global Majors & Industry (15 May 2026)	1	Renascience	51%	
5/15/2026	Daily Market Movers: Global Majors & Industry (15 May 2026)	2	Towa Pharmaceutical	10%	
5/15/2026	Weekly Market Movers: Global Majors & Industry (15 May 2026)	2	Noveris Health Sciences	43%	
5/15/2026	Weekly Market Movers: Global Majors & Industry (15 May 2026)	3	Sellas Life Sciences Group	41%	
5/15/2026	Daily Market Movers: Global Majors & Industry (15 May 2026)	3	Suzuken Group	6%	15 May: Company releases its FY'25 results, reporting a ��2.
5/15/2026	Weekly Market Movers: Global Majors & Industry (15 May 2026)	4	MacroGenics	41%	
