email_date,email_subject,rank,company,eval_pct,notes,ticker,hold_months,sell_target_date,status,buy_date,buy_price,sell_date,sell_price,return_pct,end_value_usd,holding_days,error
2026-04-13,Weekly Market Movers: Global Majors & Industry (13 Apr 2026),7,Unitika,35.0,,3103.T,1,2026-05-13,ok,2026-04-13 00:00:00+09:00,1763.0,2026-05-13 00:00:00+09:00,2315.0,31.310266591038005,1.31310266591038,30.0,
2026-04-13,Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026),7,SK Chemicals,17.0,,285130.KQ,1,2026-05-13,ok,2026-04-13 00:00:00+09:00,56653.9375,2026-05-13 00:00:00+09:00,49027.44921875,-13.461532627365926,0.8653846737263408,30.0,
2026-04-13,Daily Market Movers: Global Majors & Industry (13 Apr 2026),7,PolyPeptide Group,13.0,,PPGN.SW,1,2026-05-13,ok,2026-04-13 00:00:00+02:00,35.900001525878906,2026-05-13 00:00:00+02:00,37.849998474121094,5.431746143064955,1.0543174614306496,30.0,
2026-04-13,Weekly Market Movers: Global Majors & Industry (13 Apr 2026),8,Milestone Pharmaceuticals,33.0,,MIST,1,2026-05-13,ok,2026-04-13 00:00:00-04:00,2.0,2026-05-13 00:00:00-04:00,1.7200000286102295,-13.999998569488525,0.8600000143051147,30.0,
2026-04-13,Daily Market Movers: Global Majors & Industry (13 Apr 2026),8,CytoDyn,13.0,,CYDY,1,2026-05-13,ok,2026-04-13 00:00:00-04:00,0.33000001311302185,2026-05-13 00:00:00-04:00,0.36000001430511475,9.090909090909092,1.0909090909090908,30.0,
2026-04-13,Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026),8,Oscotec,16.0,,039200.KQ,1,2026-05-13,ok,2026-04-13 00:00:00+09:00,55200.0,2026-05-13 00:00:00+09:00,47650.0,-13.677536231884059,0.8632246376811594,30.0,
2026-04-13,Daily Market Movers: Global Majors & Industry (13 Apr 2026),9,Alto Neuroscience,13.0,,ANRO,1,2026-05-13,ok,2026-04-13 00:00:00-04:00,25.75,2026-05-13 00:00:00-04:00,22.850000381469727,-11.262134440894265,0.8873786555910573,30.0,
2026-04-13,Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026),9,Sun Pharma Advanced Research,16.0,,532872.BO,1,2026-05-13,ok,2026-04-13 00:00:00-04:00,142.39999389648438,2026-05-13 00:00:00-04:00,168.75,18.504218562446276,1.1850421856244628,30.0,
2026-04-13,Weekly Market Movers: Global Majors & Industry (13 Apr 2026),9,Forte Biosciences,33.0,,FBRX,1,2026-05-13,ok,2026-04-13 00:00:00-04:00,30.600000381469727,2026-05-13 00:00:00-04:00,24.65999984741211,-19.411766209175184,0.8058823379082481,30.0,
2026-04-13,Weekly Asia Market Movers: Global Majors & Industry (13 Apr 2026),10,D&D Pharmatech,15.0,,141080.KQ,1,2026-05-13,ok,2026-04-13 00:00:00+09:00,188800.0,2026-05-13 00:00:00+09:00,197700.0,4.713983050847458,1.0471398305084745,30.0,
2026-04-13,Daily Market Movers: Global Majors & Industry (13 Apr 2026),10,ASP Isotopes,13.0,Revolution Medicines,ASPI,1,2026-05-13,ok,2026-04-13 00:00:00-04:00,5.059999942779541,2026-05-13 00:00:00-04:00,6.320000171661377,24.90119057569983,1.2490119057569984,30.0,
2026-04-14,Daily Market Movers: Global Majors & Industry (14 Apr 2026),1,Unitika,23.0,,3103.T,1,2026-05-14,ok,2026-04-14 00:00:00+09:00,2163.0,2026-05-14 00:00:00+09:00,1815.0,-16.08876560332871,0.8391123439667129,30.0,
2026-04-14,Daily Market Movers: Global Majors & Industry (14 Apr 2026),2,Twist Bioscience,14.0,,TWST,1,2026-05-14,ok,2026-04-14 00:00:00-04:00,57.40999984741211,2026-05-14 00:00:00-04:00,52.95000076293945,-7.768679840318274,0.9223132015968173,30.0,
